iter	Passed	Remaining
614	706	442
615	707	440
616	708	439
617	709	438
618	710	437
619	711	436
620	713	435
621	714	434
622	715	433
623	717	432
624	718	430
625	719	429
626	720	428
627	721	427
628	722	426
629	724	425
630	725	424
631	726	422
632	727	421
633	728	420
634	729	419
635	730	418
636	731	417
637	732	415
638	734	414
639	735	413
640	736	412
641	737	411
642	738	410
643	739	408
644	741	407
645	742	406
646	743	405
647	744	404
648	745	403
649	746	402
650	747	400
651	748	399
652	749	398
653	750	397
654	751	396
655	752	394
656	753	393
657	754	392
658	755	391
659	756	389
660	757	388
661	759	387
662	759	386
663	760	385
664	761	383
665	763	382
666	764	381
667	765	380
668	766	379
669	767	377
670	768	376
671	769	375
672	770	374
673	771	373
674	772	371
675	775	371
676	777	370
677	778	369
678	779	368
679	780	367
680	781	365
681	782	364
682	783	363
683	784	362
684	785	361
685	786	359
686	787	358
687	788	357
688	789	356
689	790	355
690	791	353
691	792	352
692	793	351
693	794	350
694	795	349
695	796	347
696	797	346
697	798	345
698	799	344
699	800	342
700	801	341
701	802	340
702	803	339
703	803	338
704	804	336
705	805	335
706	806	334
707	807	333
708	808	332
709	810	330
710	811	329
711	812	328
712	813	327
713	814	326
714	815	325
715	816	324
716	817	322
717	819	321
718	820	320
719	821	319
720	822	318
721	823	317
722	824	315
723	825	314
724	826	313
725	828	312
726	829	311
727	830	310
728	831	309
729	832	307
730	833	306
731	837	306
732	838	305
733	839	304
734	840	303
735	841	301
736	842	300
737	843	299
738	844	298
739	845	297
740	846	295
741	847	294
742	848	293
743	849	292
744	850	291
745	851	289
746	852	288
747	853	287
748	854	286
749	855	285
750	856	283
751	857	282
752	858	281
753	859	280
754	860	279
755	861	277
756	862	276
757	863	275
758	864	274
759	865	273
760	866	272
761	867	270
762	868	269
763	869	268
764	870	267
765	871	266
766	872	265
767	873	263
768	874	262
769	875	261
770	876	260
771	877	259
772	878	257
773	879	256
774	880	255
775	881	254
776	882	253
777	883	252
778	884	250
779	885	249
780	886	248
781	887	247
782	888	246
783	889	245
784	890	243
785	891	242
786	892	241
787	893	240
788	894	239
789	896	238
790	897	237
791	898	235
792	899	234
793	900	233
794	901	232
795	902	231
796	903	230
797	905	229
798	906	227
799	907	226
800	908	225
801	909	224
802	910	223
803	911	222
804	912	221
805	914	220
806	915	218
807	916	217
808	917	216
809	918	215
810	919	214
811	920	213
812	922	212
813	923	210
814	924	209
815	925	208
816	926	207
817	928	206
818	929	205
819	930	204
820	931	203
821	932	201
822	933	200
823	934	199
824	935	198
825	936	197
826	938	196
827	939	195
828	940	193
829	941	192
830	942	191
831	943	190
832	944	189
833	945	188
834	947	187
835	948	185
836	949	184
837	950	183
838	951	182
839	953	181
840	954	180
841	955	179
842	956	178
843	957	177
844	958	175
845	959	174
846	961	173
847	962	172
848	963	171
849	964	170
850	965	168
851	966	167
852	967	166
853	968	165
854	969	164
855	970	163
856	971	162
857	972	160
858	973	159
859	974	158
860	975	157
861	976	156
862	977	155
863	978	154
864	980	152
865	981	151
866	982	150
867	983	149
868	984	148
869	985	147
870	986	146
871	988	145
872	989	143
873	990	142
874	991	141
875	992	140
876	993	139
877	994	138
878	996	137
879	997	135
880	998	134
881	999	133
882	1000	132
883	1001	131
884	1002	130
885	1003	129
886	1004	127
887	1005	126
888	1006	125
889	1007	124
890	1008	123
891	1009	122
892	1010	121
893	1011	119
894	1012	118
895	1013	117
896	1014	116
897	1015	115
898	1016	114
899	1017	113
900	1019	111
901	1020	110
902	1021	109
903	1022	108
904	1023	107
905	1024	106
906	1025	105
907	1026	104
908	1027	102
909	1029	101
910	1030	100
911	1031	99
912	1032	98
913	1033	97
914	1034	96
915	1035	95
916	1037	93
917	1038	92
918	1039	91
919	1040	90
920	1041	89
921	1042	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1048	82
927	1049	81
928	1050	80
929	1051	79
930	1052	77
931	1053	76
932	1054	75
933	1055	74
934	1056	73
935	1057	72
936	1058	71
937	1059	70
938	1060	68
939	1061	67
940	1062	66
941	1063	65
942	1064	64
943	1065	63
944	1066	62
945	1067	60
946	1069	59
947	1070	58
948	1071	57
949	1072	56
950	1073	55
951	1074	54
952	1075	53
953	1076	51
954	1078	50
955	1079	49
956	1080	48
957	1081	47
958	1082	46
959	1083	45
960	1085	44
961	1086	42
962	1088	41
963	1089	40
964	1090	39
965	1091	38
966	1092	37
967	1093	36
968	1094	35
969	1095	33
970	1097	32
971	1098	31
972	1099	30
973	1100	29
974	1101	28
975	1102	27
976	1103	25
977	1104	24
978	1105	23
979	1106	22
980	1108	21
981	1109	20
982	1110	19
983	1111	18
984	1112	16
985	1114	15
986	1115	14
987	1116	13
988	1117	12
989	1118	11
990	1119	10
991	1120	9
992	1122	7
993	1123	6
994	1124	5
995	1125	4
996	1126	3
997	1127	2
998	1128	1
999	1130	0
